time	V(output)
Step Information: Lval=60n Wval=10µ  (Step: 1/25)
0.000000000000000e+00	5.000000e+00
3.199999991920777e-05	5.000000e+00
6.399999983841553e-05	4.990630e+00
1.279999996768311e-04	4.830000e+00
2.256562496768311e-04	4.200059e+00
2.378632809268311e-04	3.598274e+00
2.622773434268311e-04	1.226001e+00
2.683808590518311e-04	8.478652e-01
2.805878903018311e-04	6.487262e-01
3.050019528018311e-04	3.675648e-01
3.111054684268311e-04	3.159870e-01
3.233124996768311e-04	2.430476e-01
3.477265621768311e-04	1.437177e-01
3.965546871768311e-04	2.034544e-02
4.023437500000000e-04	1.211439e-02
4.139218756463379e-04	5.722524e-03
4.370781269390137e-04	7.852970e-04
4.536874974146485e-04	9.189093e-11
5.000000000000000e-04	9.146689e-11
5.500858595491304e-03	9.165003e-11
5.518030505317390e-03	9.551838e-11
5.536347209131882e-03	2.073678e-05
5.572980616760865e-03	1.745584e-02
5.646247432018831e-03	3.090744e-01
5.743903682018830e-03	1.226264e+00
5.745429560925081e-03	1.282917e+00
5.748481318737580e-03	1.499151e+00
5.749244258190706e-03	1.577118e+00
5.749434993053987e-03	1.607818e+00
5.749816462780549e-03	1.691901e+00
5.749935672070100e-03	1.733760e+00
5.749983355785920e-03	1.767666e+00
5.749999002005173e-03	1.791469e+00
5.749999979893877e-03	1.798939e+00
5.750000003176941e-03	1.808405e+00
5.750001003176942e-03	2.829998e+00
5.750001128176942e-03	3.008475e+00
5.750001378176941e-03	3.209933e+00
5.750001385989441e-03	3.209977e+00
5.750033370364441e-03	3.247656e+00
5.750129370364441e-03	3.293163e+00
5.750513370364441e-03	3.383018e+00
5.751025370364441e-03	3.455654e+00
5.752049370364441e-03	3.554759e+00
5.754097370364441e-03	3.687613e+00
5.758193370364441e-03	3.864190e+00
5.766385370364441e-03	4.091275e+00
5.782769370364441e-03	4.364443e+00
5.815537370364441e-03	4.706033e+00
5.823729370364441e-03	4.763427e+00
5.840113370364441e-03	4.836307e+00
5.872881370364441e-03	4.921540e+00
5.938417370364441e-03	4.986836e+00
6.000000000000000e-03	5.000000e+00
6.092373944453338e-03	5.000000e+00
1.000000000000000e-02	5.000000e+00
1.001727712854854e-02	5.000000e+00
1.003702241831831e-02	4.999900e+00
1.007651299785784e-02	4.976945e+00
1.015549415693690e-02	4.850039e+00
1.016770118818690e-02	4.804069e+00
1.019211525068690e-02	4.588810e+00
1.024094337568690e-02	3.903382e+00
1.024246925459315e-02	3.858391e+00
1.024628395185878e-02	3.677180e+00
1.024819130049159e-02	3.540666e+00
1.024914497480800e-02	3.437924e+00
1.024962181196620e-02	3.359811e+00
1.024986023054530e-02	3.297225e+00
1.024998540029933e-02	3.231604e+00
1.024999999732550e-02	3.200418e+00
1.025000100023588e-02	2.170145e+00
1.025000112523588e-02	1.991588e+00
1.025000137523588e-02	1.789931e+00
1.025000138304838e-02	1.789933e+00
