time	V(output)
Step Information: Lval=2n Wval=2µ  (Step: 1/25)
0.000000000000000e+00	5.000000e+00
1.599999995960388e-05	5.000000e+00
3.199999991920777e-05	4.998788e+00
6.399999983841553e-05	4.976572e+00
1.279999996768311e-04	4.758196e+00
2.256562496768311e-04	3.999698e+00
2.378632809268311e-04	3.776481e+00
2.409150387393311e-04	3.666226e+00
2.470185543643311e-04	3.347728e+00
2.485444332705811e-04	3.032486e+00
2.515961910830811e-04	1.868934e+00
2.523591305362061e-04	1.683062e+00
2.538850094424561e-04	1.577263e+00
2.569367672549561e-04	1.422613e+00
2.630402828799561e-04	1.209929e+00
2.752473141299561e-04	9.350354e-01
2.996613766299561e-04	5.639653e-01
3.057648922549561e-04	4.963382e-01
3.179719235049561e-04	3.991628e-01
3.423859860049561e-04	2.604425e-01
3.912141110049561e-04	7.554444e-02
4.034211422549561e-04	4.705554e-02
4.278352047549562e-04	1.775083e-02
4.511718750000000e-04	1.285188e-03
4.533266595099122e-04	5.964369e-04
4.576362285297366e-04	2.129879e-04
4.662553665693854e-04	2.224778e-05
4.834936426486830e-04	-2.303843e-08
5.000000000000000e-04	2.137468e-11
5.500892073270616e-03	2.141699e-11
5.513381099059233e-03	2.202156e-11
5.527654271389081e-03	5.418650e-04
5.556200616048778e-03	1.468492e-02
5.613293305368171e-03	1.655249e-01
5.710949555368171e-03	7.292849e-01
5.723156586618171e-03	9.386029e-01
5.747570649118171e-03	1.694217e+00
5.748333588571296e-03	1.760863e+00
5.749859467477547e-03	1.998223e+00
5.749919072122322e-03	2.018355e+00
5.749995813102470e-03	2.081367e+00
5.750000000053699e-03	2.099960e+00
5.750000125053699e-03	2.760323e+00
5.750000127006824e-03	2.812769e+00
5.750000130913075e-03	2.903544e+00
5.750000131035144e-03	2.903449e+00
5.750016130791004e-03	2.935864e+00
5.750064130791004e-03	2.971187e+00
5.750256130791004e-03	3.040985e+00
5.750512130791004e-03	3.097857e+00
5.751024130791004e-03	3.176795e+00
5.752048130791004e-03	3.284712e+00
5.754096130791004e-03	3.429884e+00
5.758192130791004e-03	3.623916e+00
5.766384130791004e-03	3.875780e+00
5.782768130791005e-03	4.183985e+00
5.815536130791004e-03	4.579227e+00
5.823728130791004e-03	4.647777e+00
5.840112130791004e-03	4.739712e+00
5.872880130791004e-03	4.858065e+00
5.938416130791004e-03	4.969120e+00
6.000000000000000e-03	5.000000e+00
6.006158386920900e-03	5.000004e+00
6.043108708446297e-03	5.000000e+00
1.000000000000000e-02	5.000000e+00
1.001743852101004e-02	5.000000e+00
1.003736825930722e-02	4.996983e+00
1.007722773590159e-02	4.951826e+00
1.015694668909032e-02	4.750369e+00
1.016915372034032e-02	4.689534e+00
1.019356778284032e-02	4.426507e+00
1.024239590784032e-02	3.603573e+00
1.024392178674657e-02	3.547807e+00
1.024697354455907e-02	3.143194e+00
1.025307706018407e-02	1.758334e+00
1.025460293909032e-02	1.531726e+00
1.025765469690282e-02	1.388535e+00
1.026375821252782e-02	1.186209e+00
1.027596524377782e-02	9.200135e-01
1.030037930627782e-02	5.561853e-01
1.030648282190282e-02	4.895792e-01
1.031868985315282e-02	3.936238e-01
1.034310391565282e-02	2.565687e-01
1.039193204065282e-02	7.391567e-02
1.040413907190282e-02	4.582647e-02
1.042855313440282e-02	1.698337e-02
1.045117187500000e-02	1.489733e-03
1.045476251880565e-02	4.812790e-04
1.046194380641694e-02	1.101763e-04
1.047630638163952e-02	-5.517224e-08
1.050000000000000e-02	2.137534e-11
1.550000000000000e-02	2.137541e-11
1.550976562500000e-02	2.184464e-11
1.552929687500000e-02	1.713542e-03
1.556835937500000e-02	3.620308e-02
1.564648437500000e-02	4.198280e-01
1.574414062500000e-02	1.488099e+00
1.574566650390625e-02	1.553107e+00
1.574871826171875e-02	1.804852e+00
1.574948120117187e-02	1.901371e+00
1.574971961975098e-02	1.949787e+00
1.574983882904053e-02	1.985590e+00
1.574998486042022e-02	2.064612e+00
1.574999920278787e-02	2.092139e+00
1.574999999986903e-02	2.099913e+00
1.575000012505093e-02	2.760323e+00
1.575000012700405e-02	2.812769e+00
1.575000013091030e-02	2.903544e+00
1.575000013103237e-02	2.903449e+00
1.575001613078823e-02	2.935864e+00
1.575006413078823e-02	2.971187e+00
1.575025613078823e-02	3.040985e+00
1.575051213078823e-02	3.097857e+00
1.575102413078823e-02	3.176795e+00
1.575204813078823e-02	3.284712e+00
1.575409613078823e-02	3.429884e+00
1.575819213078823e-02	3.623916e+00
1.576638413078823e-02	3.875780e+00
1.578276813078823e-02	4.183985e+00
1.581553613078823e-02	4.579227e+00
1.582372813078823e-02	4.647777e+00
1.584011213078823e-02	4.739712e+00
1.587288013078823e-02	4.858064e+00
1.593841613078823e-02	4.969120e+00
1.600000000000000e-02	5.000000e+00
1.600615838692118e-02	5.000004e+00
1.604310870844823e-02	5.000000e+00
2.000000000000000e-02	5.000000e+00
2.001743852137653e-02	5.000000e+00
2.003736826009258e-02	4.996983e+00
2.007722773752466e-02	4.951826e+00
2.015694669238881e-02	4.750369e+00
2.016915372363881e-02	4.689534e+00
2.019356778613881e-02	4.426507e+00
2.024239591113881e-02	3.603573e+00
2.024392179004506e-02	3.547807e+00
2.024697354785756e-02	3.143194e+00
2.025307706348256e-02	1.758334e+00
2.025460294238881e-02	1.531725e+00
2.025765470020131e-02	1.388535e+00
2.026375821582631e-02	1.186209e+00
2.027596524707631e-02	9.200134e-01
2.030037930957631e-02	5.561852e-01
2.030648282520131e-02	4.895792e-01
2.031868985645131e-02	3.936238e-01
2.034310391895131e-02	2.565687e-01
2.039193204395131e-02	7.391566e-02
2.040413907520131e-02	4.582646e-02
2.042855313770131e-02	1.698337e-02
2.045117187500000e-02	1.489734e-03
2.045476252540262e-02	4.812785e-04
2.046194382620787e-02	1.101760e-04
2.047630642781835e-02	-5.517223e-08
2.050000000000000e-02	2.137534e-11
2.550000000000000e-02	2.137541e-11
2.550976562500000e-02	2.184464e-11
2.552929687500000e-02	1.713542e-03
2.556835937500000e-02	3.620308e-02
2.564648437500000e-02	4.198280e-01
2.574414062500000e-02	1.488099e+00
2.574566650390625e-02	1.553107e+00
2.574871826171875e-02	1.804852e+00
2.574948120117188e-02	1.901371e+00
2.574971961975098e-02	1.949787e+00
2.574983882904053e-02	1.985590e+00
2.574998486042022e-02	2.064612e+00
2.574999920278787e-02	2.092139e+00
2.574999999986903e-02	2.099913e+00
2.575000012505093e-02	2.760323e+00
2.575000012700406e-02	2.812769e+00
2.575000013091031e-02	2.903544e+00
2.575000013103237e-02	2.903449e+00
2.575001613078823e-02	2.935864e+00
2.575006413078823e-02	2.971187e+00
2.575025613078823e-02	3.040985e+00
2.575051213078823e-02	3.097857e+00
2.575102413078824e-02	3.176795e+00
2.575204813078823e-02	3.284712e+00
2.575409613078824e-02	3.429884e+00
2.575819213078823e-02	3.623916e+00
2.576638413078823e-02	3.875780e+00
2.578276813078824e-02	4.183985e+00
2.581553613078823e-02	4.579227e+00
2.582372813078824e-02	4.647777e+00
2.584011213078824e-02	4.739712e+00
2.587288013078824e-02	4.858064e+00
2.593841613078824e-02	4.969120e+00
2.600000000000000e-02	5.000000e+00
2.600615838692118e-02	5.000004e+00
2.604310870844824e-02	5.000000e+00
3.000000000000000e-02	5.000000e+00
3.001743852137683e-02	5.000000e+00
3.003736826009322e-02	4.996983e+00
3.007722773752599e-02	4.951826e+00
3.015694669239153e-02	4.750369e+00
3.016915372364153e-02	4.689534e+00
3.019356778614152e-02	4.426507e+00
3.024239591114153e-02	3.603573e+00
3.024392179004777e-02	3.547807e+00
3.024697354786027e-02	3.143194e+00
3.025307706348528e-02	1.758334e+00
3.025460294239152e-02	1.531725e+00
3.025765470020403e-02	1.388535e+00
3.026375821582903e-02	1.186209e+00
3.027596524707903e-02	9.200134e-01
3.030037930957902e-02	5.561852e-01
3.030648282520403e-02	4.895792e-01
3.031868985645403e-02	3.936238e-01
3.034310391895402e-02	2.565687e-01
3.039193204395402e-02	7.391566e-02
3.040413907520402e-02	4.582646e-02
3.042855313770402e-02	1.698337e-02
3.045117187500000e-02	1.489734e-03
3.045476252540805e-02	4.812785e-04
3.046194382622414e-02	1.101760e-04
3.047630642785634e-02	-5.517223e-08
3.050000000000000e-02	2.137534e-11
3.550000000000000e-02	2.137541e-11
3.550976562499999e-02	2.184464e-11
3.552929687500000e-02	1.713542e-03
3.556835937500000e-02	3.620308e-02
3.564648437500000e-02	4.198280e-01
3.574414062500000e-02	1.488099e+00
3.574566650390625e-02	1.553107e+00
3.574871826171874e-02	1.804852e+00
3.574948120117187e-02	1.901371e+00
3.574971961975097e-02	1.949787e+00
3.574983882904052e-02	1.985590e+00
3.574998486042023e-02	2.064612e+00
3.574999920278787e-02	2.092139e+00
3.574999999986903e-02	2.099913e+00
3.575000012505093e-02	2.760323e+00
3.575000012700406e-02	2.812769e+00
3.575000013091031e-02	2.903544e+00
3.575000013103238e-02	2.903449e+00
3.575001613078824e-02	2.935864e+00
3.575006413078823e-02	2.971187e+00
3.575025613078824e-02	3.040985e+00
3.575051213078823e-02	3.097857e+00
3.575102413078823e-02	3.176795e+00
3.575204813078824e-02	3.284712e+00
3.575409613078823e-02	3.429884e+00
3.575819213078824e-02	3.623916e+00
3.576638413078823e-02	3.875780e+00
3.578276813078823e-02	4.183985e+00
3.581553613078824e-02	4.579227e+00
3.582372813078823e-02	4.647777e+00
3.584011213078823e-02	4.739712e+00
3.587288013078824e-02	4.858065e+00
3.593841613078824e-02	4.969120e+00
3.600000000000000e-02	5.000000e+00
3.600615838692117e-02	5.000004e+00
3.604310870844823e-02	5.000000e+00
4.000000000000000e-02	5.000000e+00
4.001743852137593e-02	5.000000e+00
4.003736826009129e-02	4.996983e+00
4.007722773752199e-02	4.951826e+00
4.015694669238339e-02	4.750369e+00
4.016915372363340e-02	4.689534e+00
4.019356778613339e-02	4.426507e+00
4.024239591113339e-02	3.603573e+00
4.024392179003964e-02	3.547807e+00
4.024697354785214e-02	3.143194e+00
4.025307706347714e-02	1.758334e+00
4.025460294238339e-02	1.531725e+00
4.025765470019588e-02	1.388535e+00
4.026375821582089e-02	1.186209e+00
4.027596524707089e-02	9.200134e-01
4.030037930957089e-02	5.561852e-01
4.030648282519589e-02	4.895792e-01
4.031868985644589e-02	3.936238e-01
4.034310391894589e-02	2.565687e-01
4.039193204394589e-02	7.391566e-02
4.040413907519589e-02	4.582646e-02
4.042855313769589e-02	1.698337e-02
4.045117187500000e-02	1.489734e-03
4.045476252539177e-02	4.812785e-04
4.046194382617530e-02	1.101760e-04
4.047630642774237e-02	-5.517223e-08
4.050000000000000e-02	2.137534e-11
4.550000000000000e-02	2.137541e-11
4.550976562500000e-02	2.184464e-11
4.552929687500000e-02	1.713542e-03
4.556835937500000e-02	3.620308e-02
4.564648437500000e-02	4.198280e-01
4.574414062500000e-02	1.488099e+00
4.574566650390625e-02	1.553107e+00
4.574871826171874e-02	1.804852e+00
4.574948120117187e-02	1.901371e+00
4.574971961975097e-02	1.949787e+00
4.574983882904052e-02	1.985590e+00
4.574998486042023e-02	2.064612e+00
4.574999920278788e-02	2.092139e+00
4.574999999986903e-02	2.099913e+00
4.575000012505093e-02	2.760323e+00
4.575000012700406e-02	2.812769e+00
4.575000013091031e-02	2.903544e+00
4.575000013103238e-02	2.903449e+00
4.575001613078824e-02	2.935864e+00
4.575006413078823e-02	2.971187e+00
4.575025613078824e-02	3.040985e+00
4.575051213078823e-02	3.097857e+00
4.575102413078824e-02	3.176795e+00
4.575204813078824e-02	3.284712e+00
4.575409613078824e-02	3.429884e+00
4.575819213078824e-02	3.623916e+00
4.576638413078823e-02	3.875780e+00
4.578276813078824e-02	4.183985e+00
4.581553613078824e-02	4.579227e+00
4.582372813078824e-02	4.647777e+00
4.584011213078824e-02	4.739712e+00
4.587288013078824e-02	4.858065e+00
4.593841613078824e-02	4.969120e+00
4.600000000000000e-02	5.000000e+00
4.600615838692117e-02	5.000004e+00
4.604310870844823e-02	5.000000e+00
4.785018830381767e-02	5.000000e+00
5.000000000000000e-02	5.000000e+00
5.001743852137593e-02	5.000000e+00
5.003736826009129e-02	4.996983e+00
5.007722773752199e-02	4.951826e+00
5.015694669238339e-02	4.750369e+00
5.016915372363340e-02	4.689534e+00
5.019356778613340e-02	4.426507e+00
5.024239591113339e-02	3.603573e+00
5.024392179003964e-02	3.547807e+00
5.024697354785214e-02	3.143194e+00
5.025307706347714e-02	1.758334e+00
5.025460294238339e-02	1.531725e+00
5.025765470019589e-02	1.388535e+00
5.026375821582089e-02	1.186209e+00
5.027596524707089e-02	9.200134e-01
5.030037930957089e-02	5.561852e-01
5.030648282519589e-02	4.895792e-01
5.031868985644589e-02	3.936238e-01
5.034310391894589e-02	2.565687e-01
5.039193204394589e-02	7.391566e-02
5.040413907519589e-02	4.582646e-02
5.042855313769589e-02	1.698337e-02
5.045117187500001e-02	1.489734e-03
5.045476252539177e-02	4.812785e-04
5.046194382617530e-02	1.101760e-04
5.047630642774237e-02	-5.517223e-08
5.050000000000000e-02	2.137534e-11
5.550000000000000e-02	2.137541e-11
5.550976562500000e-02	2.184464e-11
5.552929687500000e-02	1.713542e-03
5.556835937500000e-02	3.620308e-02
5.564648437500000e-02	4.198280e-01
